Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
    3  229 0                  0          0          com.apple.kpi.bsd (24.5.0) AC87C755-49A7-3579-B1AA-F76DDC4D4304 <>
    4   11 0                  0          0          com.apple.kpi.dsep (24.5.0) AC87C755-49A7-3579-B1AA-F76DDC4D4304 <>
    5  261 0                  0          0          com.apple.kpi.iokit (24.5.0) AC87C755-49A7-3579-B1AA-F76DDC4D4304 <>
    6  262 0                  0          0          com.apple.kpi.libkern (24.5.0) AC87C755-49A7-3579-B1AA-F76DDC4D4304 <>
    7  245 0                  0          0          com.apple.kpi.mach (24.5.0) AC87C755-49A7-3579-B1AA-F76DDC4D4304 <>
    8  184 0                  0          0          com.apple.kpi.private (24.5.0) AC87C755-49A7-3579-B1AA-F76DDC4D4304 <>
    9  155 0                  0          0          com.apple.kpi.unsupported (24.5.0) AC87C755-49A7-3579-B1AA-F76DDC4D4304 <>
   10   20 0xfffffe0007ba20d0 0x193a0    0x193a0    com.apple.kec.corecrypto (14.0) 55182400-F7EA-3E3F-9690-FA1AAB4ABE92 <9 8 7 6 5 3>
   11    0 0xfffffe00073efce0 0x51f      0x51f      com.apple.kec.AppleEncryptedArchive (1) F39F1904-43FB-38AE-93DE-10EF01823A6F <10 8 7 6>
   12    0 0xfffffe000773baa0 0x4f0      0x4f0      com.apple.kec.Compression (1.0) 4A20D64B-5F4A-3D6D-973C-7AE204DE4AF7 <10 8 7 6>
   13    0 0xfffffe0007aaef40 0xf20      0xf20      com.apple.kec.InvalidateHmac (1) B9A4392B-8278-3729-80F2-D2692950F733 <9 8 7 6 5>
   14    7 0xfffffe0007ab0f70 0x6c78     0x6c78     com.apple.kec.Libm (1) D3942000-7B7F-3EF6-9E16-36A8DAEEBBB1 <6>
   15    0 0xfffffe0007bcdcf0 0xd55      0xd55      com.apple.kec.pthread (1) 6FEEDCE7-2184-3192-B98E-F71DE2AD4BF5 <9 8 7 6 5 3>
   16    5 0xfffffe00078f2270 0xbbf      0xbbf      com.apple.iokit.IOCryptoAcceleratorFamily (1.0.1) 83422FCC-1B25-32C9-9AC8-245330B49B43 <9 7 6 5 3>
   17    2 0xfffffe000774cdb0 0x1b9e     0x1b9e     com.apple.kext.CoreTrust (1) 4EF1384C-73F2-3958-A2EB-C3F00627457D <10 8 6>
   18    3 0xfffffe000749a5d0 0xea2b     0xea2b     com.apple.security.AppleImage4 (7.0.0) 1168090C-9CC6-33B0-BC41-D17B85CD763F <17 16 10 9 8 7 6 5 4 3>
   19   17 0xfffffe000773bf90 0x3e67     0x3e67     com.apple.iokit.CoreAnalyticsFamily (1) FA3A8174-544C-3425-81C4-54991153C9CA <9 8 7 6 5 3>
   20   15 0xfffffe000755cb30 0x1d25a    0x1d25a    com.apple.driver.AppleMobileFileIntegrity (1.0.5) 33248781-C3E4-30EE-A094-5DC895EE0D19 <19 18 17 10 9 8 7 6 5 4 3>
